theta,avg_loss,worst_loss
0.0,59801.25548825828,107277.73165352088
0.5,58942.87614336388,105606.3107179231
1.0,59676.42274459617,106930.39761131708
2.0,63711.318082769445,114405.63844950676
5.0,80959.3961794401,146525.76454995206
