theta,avg_loss,worst_loss
0.0,59801.25548825828,107277.73165352088
0.5,58173.73610964038,105733.43472163632
1.0,59442.92136910751,109671.26073158346
2.0,66512.61499147693,125884.33096303383
5.0,96104.06397258815,188023.80241539763
