lambda1,lambda2,lambda3,mu,val_post_avg,val_pre_avg,best_epoch,epochs_ran,runtime,combo_dir
0.1,0.0,1.0,0.3,0.02250281483044519,0.0018346453811425496,1,6,44.790024757385254,outputs/grid_l1=0.1_l2=0.0_l3=1.0_mu=0.3
0.1,0.0,1.0,0.5,0.022646085140021407,0.0005016676312901408,1,6,42.70729207992554,outputs/grid_l1=0.1_l2=0.0_l3=1.0_mu=0.5
0.1,0.0,1.0,0.7,0.022708872004466897,0.00010736688465626417,1,6,41.376829862594604,outputs/grid_l1=0.1_l2=0.0_l3=1.0_mu=0.7
0.1,0.0,2.0,0.3,0.0220193080330158,0.003296634305597228,1,6,41.307117223739624,outputs/grid_l1=0.1_l2=0.0_l3=2.0_mu=0.3
0.1,0.0,2.0,0.5,0.0219072763917639,0.0010123635447063647,1,6,41.210301876068115,outputs/grid_l1=0.1_l2=0.0_l3=2.0_mu=0.5
0.1,0.0,2.0,0.7,0.021757493261247873,0.00022141177375006546,1,6,41.52525615692139,outputs/grid_l1=0.1_l2=0.0_l3=2.0_mu=0.7
0.1,0.0,3.0,0.3,0.022122047019793707,0.003515084890429588,2,7,48.485312938690186,outputs/grid_l1=0.1_l2=0.0_l3=3.0_mu=0.3
0.1,0.0,3.0,0.5,0.022715868318782133,0.0013415593112928465,1,6,41.71263003349304,outputs/grid_l1=0.1_l2=0.0_l3=3.0_mu=0.5
0.1,0.0,3.0,0.7,0.022616500308846727,0.0004211707504616831,1,6,42.88521099090576,outputs/grid_l1=0.1_l2=0.0_l3=3.0_mu=0.7
0.2,0.0,1.0,0.3,0.022179882809081498,0.0016499975429135649,1,6,44.61300086975098,outputs/grid_l1=0.2_l2=0.0_l3=1.0_mu=0.3
0.2,0.0,1.0,0.5,0.02230884614126647,0.00040236265511553297,1,6,41.72456216812134,outputs/grid_l1=0.2_l2=0.0_l3=1.0_mu=0.5
0.2,0.0,1.0,0.7,0.02221314735053217,0.00020604275521370307,1,6,41.96863269805908,outputs/grid_l1=0.2_l2=0.0_l3=1.0_mu=0.7
0.2,0.0,2.0,0.3,0.021836742320481467,0.002866251698886866,1,6,41.65138792991638,outputs/grid_l1=0.2_l2=0.0_l3=2.0_mu=0.3
0.2,0.0,2.0,0.5,0.021870075752410817,0.0009004310276770197,1,6,41.75114703178406,outputs/grid_l1=0.2_l2=0.0_l3=2.0_mu=0.5
0.2,0.0,2.0,0.7,0.021810860290904257,0.0002595776420682395,1,6,41.84574294090271,outputs/grid_l1=0.2_l2=0.0_l3=2.0_mu=0.7
0.2,0.0,3.0,0.3,0.022085303906351328,0.0029561608851722933,2,7,49.025022983551025,outputs/grid_l1=0.2_l2=0.0_l3=3.0_mu=0.3
0.2,0.0,3.0,0.5,0.022829098544795725,0.001117618307676714,1,6,41.83805012702942,outputs/grid_l1=0.2_l2=0.0_l3=3.0_mu=0.5
0.2,0.0,3.0,0.7,0.02303563228205723,0.0004258509887971313,1,6,44.05657076835632,outputs/grid_l1=0.2_l2=0.0_l3=3.0_mu=0.7
0.5,0.0,1.0,0.3,0.021614405162194195,0.0008553826431606841,1,6,46.748809814453125,outputs/grid_l1=0.5_l2=0.0_l3=1.0_mu=0.3
0.5,0.0,1.0,0.5,0.021573648048455223,0.00023115780855090742,1,6,44.775869846343994,outputs/grid_l1=0.5_l2=0.0_l3=1.0_mu=0.5
0.5,0.0,1.0,0.7,0.021607564543099964,0.0001329617296184605,1,6,44.02030801773071,outputs/grid_l1=0.5_l2=0.0_l3=1.0_mu=0.7
0.5,0.0,2.0,0.3,0.02190991658169557,0.0017179614069926389,2,7,52.18684697151184,outputs/grid_l1=0.5_l2=0.0_l3=2.0_mu=0.3
0.5,0.0,2.0,0.5,0.021947383195819223,0.0005294973456971895,1,6,48.320003032684326,outputs/grid_l1=0.5_l2=0.0_l3=2.0_mu=0.5
0.5,0.0,2.0,0.7,0.02201237781521152,0.0001783363866921076,1,6,50.117403984069824,outputs/grid_l1=0.5_l2=0.0_l3=2.0_mu=0.7
0.5,0.0,3.0,0.3,0.02184805572580765,0.0019358256386647768,2,7,51.83053994178772,outputs/grid_l1=0.5_l2=0.0_l3=3.0_mu=0.3
0.5,0.0,3.0,0.5,0.022487853434594238,0.0008008340322275591,2,7,51.089152812957764,outputs/grid_l1=0.5_l2=0.0_l3=3.0_mu=0.5
0.5,0.0,3.0,0.7,0.022349082015673902,0.0002762579478097477,2,7,51.04396986961365,outputs/grid_l1=0.5_l2=0.0_l3=3.0_mu=0.7
