theta,avg_loss,worst_loss
0.0,59801.25548825828,107277.73165352088
0.5,60087.409497705565,107935.98432266865
1.0,60376.17400490737,108557.45466951067
2.0,60926.909018073,109675.70625146781
5.0,62239.36408523253,112161.96934177745
