lambda1,lambda2,lambda3,mu,val_post_avg,val_pre_avg,best_epoch,epochs_ran,runtime,combo_dir
0.5,0.0,0.5,0.7,0.023399115019642255,5.704403819810763e-05,1,6,131.97477293014526,outputs/grid_l1=0.5_l2=0.0_l3=0.5_mu=0.7
0.5,0.0,1.0,0.3,0.022756188094396803,0.0009525396179763929,1,6,139.04972910881042,outputs/grid_l1=0.5_l2=0.0_l3=1.0_mu=0.3
0.5,0.0,1.0,0.5,0.023440089268500313,0.0003028514226624633,1,6,132.4592399597168,outputs/grid_l1=0.5_l2=0.0_l3=1.0_mu=0.5
0.5,0.0,1.0,0.7,0.023669338182491416,7.783225448613794e-05,1,6,136.9078438282013,outputs/grid_l1=0.5_l2=0.0_l3=1.0_mu=0.7
0.5,0.0,2.0,0.3,0.02271929325755028,0.0017466437352328178,4,9,204.7306728363037,outputs/grid_l1=0.5_l2=0.0_l3=2.0_mu=0.3
0.5,0.0,2.0,0.5,0.022785801659612095,0.0006301165498478119,1,6,135.8297438621521,outputs/grid_l1=0.5_l2=0.0_l3=2.0_mu=0.5
0.5,0.0,2.0,0.7,0.02333715755273314,0.0002420171581701759,1,6,135.0843620300293,outputs/grid_l1=0.5_l2=0.0_l3=2.0_mu=0.7
0.5,0.0,3.0,0.3,0.022394160575726452,0.0018644884283490041,5,10,797.7345879077911,outputs/grid_l1=0.5_l2=0.0_l3=3.0_mu=0.3
0.5,0.0,3.0,0.5,0.02288917320616105,0.0007224752317757948,1,6,139.56232595443726,outputs/grid_l1=0.5_l2=0.0_l3=3.0_mu=0.5
0.5,0.0,3.0,0.7,0.02335512369652005,0.00023043957352295846,1,6,128.1917860507965,outputs/grid_l1=0.5_l2=0.0_l3=3.0_mu=0.7
0.7,0.0,0.5,0.3,0.022653254735119203,0.00032429771175991525,1,6,130.50384211540222,outputs/grid_l1=0.7_l2=0.0_l3=0.5_mu=0.3
0.7,0.0,0.5,0.5,0.0226291117587072,0.00011973391220261179,1,6,135.3344669342041,outputs/grid_l1=0.7_l2=0.0_l3=0.5_mu=0.5
0.7,0.0,0.5,0.7,0.022589285419706034,4.788391689704868e-05,1,6,133.137540102005,outputs/grid_l1=0.7_l2=0.0_l3=0.5_mu=0.7
0.7,0.0,1.0,0.3,0.022410700070288253,0.0005279789611984812,1,6,133.72829008102417,outputs/grid_l1=0.7_l2=0.0_l3=1.0_mu=0.3
0.7,0.0,1.0,0.5,0.02277740595095298,0.0001723981335731771,1,6,131.16314315795898,outputs/grid_l1=0.7_l2=0.0_l3=1.0_mu=0.5
0.7,0.0,1.0,0.7,0.022948494783657437,7.292490665670758e-05,1,6,131.3092818260193,outputs/grid_l1=0.7_l2=0.0_l3=1.0_mu=0.7
0.7,0.0,2.0,0.3,0.02243350728360169,0.0009977757170632044,8,13,288.4510450363159,outputs/grid_l1=0.7_l2=0.0_l3=2.0_mu=0.3
0.7,0.0,2.0,0.5,0.022516149835770622,0.0004234617671874516,1,6,132.94684386253357,outputs/grid_l1=0.7_l2=0.0_l3=2.0_mu=0.5
0.7,0.0,2.0,0.7,0.022652290898429996,9.374254884331843e-05,1,6,145.21274709701538,outputs/grid_l1=0.7_l2=0.0_l3=2.0_mu=0.7
0.7,0.0,3.0,0.3,0.02217779990614337,0.0012502631151993923,1,6,168.47633290290833,outputs/grid_l1=0.7_l2=0.0_l3=3.0_mu=0.3
0.7,0.0,3.0,0.5,0.022729343022493756,0.0004746490312219762,6,11,296.4775769710541,outputs/grid_l1=0.7_l2=0.0_l3=3.0_mu=0.5
0.7,0.0,3.0,0.7,0.02271789706805173,0.00018094705463975996,1,6,147.92638492584229,outputs/grid_l1=0.7_l2=0.0_l3=3.0_mu=0.7
1.0,0.0,0.5,0.3,0.022179767763351694,0.00010227728778451873,1,6,132.09048700332642,outputs/grid_l1=1.0_l2=0.0_l3=0.5_mu=0.3
1.0,0.0,0.5,0.5,0.02211842146318625,0.000152020385618979,1,6,131.83772921562195,outputs/grid_l1=1.0_l2=0.0_l3=0.5_mu=0.5
1.0,0.0,0.5,0.7,0.022231080350192153,5.36733561388888e-05,1,6,137.42231488227844,outputs/grid_l1=1.0_l2=0.0_l3=0.5_mu=0.7
1.0,0.0,1.0,0.3,0.02194862108787193,0.0005166806196725435,1,6,130.28059315681458,outputs/grid_l1=1.0_l2=0.0_l3=1.0_mu=0.3
1.0,0.0,1.0,0.5,0.022116544683847356,0.00012812575112227076,1,6,259.1973350048065,outputs/grid_l1=1.0_l2=0.0_l3=1.0_mu=0.5
1.0,0.0,1.0,0.7,0.02216295013204217,7.061983845179544e-05,1,6,159.7651710510254,outputs/grid_l1=1.0_l2=0.0_l3=1.0_mu=0.7
1.0,0.0,2.0,0.3,0.02191724447423921,0.0008238496811827645,1,6,142.89057612419128,outputs/grid_l1=1.0_l2=0.0_l3=2.0_mu=0.3
1.0,0.0,2.0,0.5,0.022084674743168494,0.0003117398625951918,1,6,167.37089586257935,outputs/grid_l1=1.0_l2=0.0_l3=2.0_mu=0.5
1.0,0.0,2.0,0.7,0.02212361651746666,7.711668267267455e-05,1,6,171.54818630218506,outputs/grid_l1=1.0_l2=0.0_l3=2.0_mu=0.7
1.0,0.0,3.0,0.3,0.021856475922772112,0.0009564860854023958,4,9,218.47011017799377,outputs/grid_l1=1.0_l2=0.0_l3=3.0_mu=0.3
1.0,0.0,3.0,0.5,0.02214161492884159,0.0002525205080233076,1,6,139.91402912139893,outputs/grid_l1=1.0_l2=0.0_l3=3.0_mu=0.5
1.0,0.0,3.0,0.7,0.022403230096268302,0.00017474597424391985,1,6,140.62240409851074,outputs/grid_l1=1.0_l2=0.0_l3=3.0_mu=0.7
