lambda1,lambda2,lambda3,mu,val_post_avg,val_pre_avg,best_epoch,epochs_ran,runtime,combo_dir
0.3,0.0,0.5,0.3,0.024551924153724137,0.00029447421590756513,1,6,149.43353915214539,outputs/grid_l1=0.3_l2=0.0_l3=0.5_mu=0.3
0.3,0.0,0.5,0.5,0.024512766203021303,8.672156378880198e-05,1,6,136.88045716285706,outputs/grid_l1=0.3_l2=0.0_l3=0.5_mu=0.5
0.3,0.0,0.5,0.7,0.024759476374396506,4.748574610857759e-05,1,6,134.37883281707764,outputs/grid_l1=0.3_l2=0.0_l3=0.5_mu=0.7
0.3,0.0,1.0,0.3,0.023745084893615806,0.0011343738023082122,1,6,131.19054102897644,outputs/grid_l1=0.3_l2=0.0_l3=1.0_mu=0.3
0.3,0.0,1.0,0.5,0.024154680424972493,0.00034446648479548883,1,6,127.37622904777527,outputs/grid_l1=0.3_l2=0.0_l3=1.0_mu=0.5
0.3,0.0,1.0,0.7,0.024614558473010275,0.00011928017321385115,1,6,131.13832712173462,outputs/grid_l1=0.3_l2=0.0_l3=1.0_mu=0.7
0.3,0.0,2.0,0.3,0.022820561220321584,0.0021609147455926765,1,6,132.95132422447205,outputs/grid_l1=0.3_l2=0.0_l3=2.0_mu=0.3
0.3,0.0,2.0,0.5,0.02381493488107534,0.000787420362672385,1,6,133.25012922286987,outputs/grid_l1=0.3_l2=0.0_l3=2.0_mu=0.5
0.3,0.0,2.0,0.7,0.023996339891763294,0.0002971244860365165,1,6,126.69959211349487,outputs/grid_l1=0.3_l2=0.0_l3=2.0_mu=0.7
0.3,0.0,3.0,0.3,0.022660947459585527,0.00220432151999215,5,10,215.9598138332367,outputs/grid_l1=0.3_l2=0.0_l3=3.0_mu=0.3
0.3,0.0,3.0,0.5,0.02329310413230868,0.0009154419051757192,1,6,131.31662893295288,outputs/grid_l1=0.3_l2=0.0_l3=3.0_mu=0.5
0.3,0.0,3.0,0.7,0.02378402031300699,0.00023849517096737947,1,6,131.6434679031372,outputs/grid_l1=0.3_l2=0.0_l3=3.0_mu=0.7
0.5,0.0,0.5,0.3,0.0233634503229576,0.0003272727147251477,1,6,129.25144600868225,outputs/grid_l1=0.5_l2=0.0_l3=0.5_mu=0.3
0.5,0.0,0.5,0.5,0.023537905941552976,0.00011728713049224633,1,6,130.84464693069458,outputs/grid_l1=0.5_l2=0.0_l3=0.5_mu=0.5
