theta,avg_loss,worst_loss
0.0,59801.25548825828,107277.73165352088
0.5,59970.15334399109,107935.08928954393
1.0,60216.77108358131,108679.44828937748
2.0,60819.032744324795,110250.8244683341
5.0,62667.86652447802,114526.09152976044
